EEG data shape: (34, 340000)
fMRI data shape: (64, 64, 32, 170)
EEG duration (seconds): 340.0
fMRI duration (seconds): 340
STFT data shape: (34, 1001, 341)
Vol 0: start_idx = -26000, end_idx = -6000, stft_data.shape[2] = 341
Vol 1: start_idx = -24000, end_idx = -4000, stft_data.shape[2] = 341
Vol 2: start_idx = -22000, end_idx = -2000, stft_data.shape[2] = 341
Vol 3: start_idx = -20000, end_idx = 0, stft_data.shape[2] = 341
Vol 4: start_idx = -18000, end_idx = 2000, stft_data.shape[2] = 341
Vol 5: start_idx = -16000, end_idx = 4000, stft_data.shape[2] = 341
Vol 6: start_idx = -14000, end_idx = 6000, stft_data.shape[2] = 341
Vol 7: start_idx = -12000, end_idx = 8000, stft_data.shape[2] = 341
Vol 8: start_idx = -10000, end_idx = 10000, stft_data.shape[2] = 341
Vol 9: start_idx = -8000, end_idx = 12000, stft_data.shape[2] = 341
Vol 10: start_idx = -6000, end_idx = 14000, stft_data.shape[2] = 341
Vol 11: start_idx = -4000, end_idx = 16000, stft_data.shape[2] = 341
Vol 12: start_idx = -2000, end_idx = 18000, stft_data.shape[2] = 341
Vol 13: start_idx = 0, end_idx = 20000, stft_data.shape[2] = 341
Vol 14: start_idx = 2000, end_idx = 22000, stft_data.shape[2] = 341
Vol 15: start_idx = 4000, end_idx = 24000, stft_data.shape[2] = 341
Vol 16: start_idx = 6000, end_idx = 26000, stft_data.shape[2] = 341
Vol 17: start_idx = 8000, end_idx = 28000, stft_data.shape[2] = 341
Vol 18: start_idx = 10000, end_idx = 30000, stft_data.shape[2] = 341
Vol 19: start_idx = 12000, end_idx = 32000, stft_data.shape[2] = 341
Vol 20: start_idx = 14000, end_idx = 34000, stft_data.shape[2] = 341
Vol 21: start_idx = 16000, end_idx = 36000, stft_data.shape[2] = 341
Vol 22: start_idx = 18000, end_idx = 38000, stft_data.shape[2] = 341
Vol 23: start_idx = 20000, end_idx = 40000, stft_data.shape[2] = 341
Vol 24: start_idx = 22000, end_idx = 42000, stft_data.shape[2] = 341
Vol 25: start_idx = 24000, end_idx = 44000, stft_data.shape[2] = 341
Vol 26: start_idx = 26000, end_idx = 46000, stft_data.shape[2] = 341
Vol 27: start_idx = 28000, end_idx = 48000, stft_data.shape[2] = 341
Vol 28: start_idx = 30000, end_idx = 50000, stft_data.shape[2] = 341
Vol 29: start_idx = 32000, end_idx = 52000, stft_data.shape[2] = 341
Vol 30: start_idx = 34000, end_idx = 54000, stft_data.shape[2] = 341
Vol 31: start_idx = 36000, end_idx = 56000, stft_data.shape[2] = 341
Vol 32: start_idx = 38000, end_idx = 58000, stft_data.shape[2] = 341
Vol 33: start_idx = 40000, end_idx = 60000, stft_data.shape[2] = 341
Vol 34: start_idx = 42000, end_idx = 62000, stft_data.shape[2] = 341
Vol 35: start_idx = 44000, end_idx = 64000, stft_data.shape[2] = 341
Vol 36: start_idx = 46000, end_idx = 66000, stft_data.shape[2] = 341
Vol 37: start_idx = 48000, end_idx = 68000, stft_data.shape[2] = 341
Vol 38: start_idx = 50000, end_idx = 70000, stft_data.shape[2] = 341
Vol 39: start_idx = 52000, end_idx = 72000, stft_data.shape[2] = 341
Vol 40: start_idx = 54000, end_idx = 74000, stft_data.shape[2] = 341
Vol 41: start_idx = 56000, end_idx = 76000, stft_data.shape[2] = 341
Vol 42: start_idx = 58000, end_idx = 78000, stft_data.shape[2] = 341
Vol 43: start_idx = 60000, end_idx = 80000, stft_data.shape[2] = 341
Vol 44: start_idx = 62000, end_idx = 82000, stft_data.shape[2] = 341
Vol 45: start_idx = 64000, end_idx = 84000, stft_data.shape[2] = 341
Vol 46: start_idx = 66000, end_idx = 86000, stft_data.shape[2] = 341
Vol 47: start_idx = 68000, end_idx = 88000, stft_data.shape[2] = 341
Vol 48: start_idx = 70000, end_idx = 90000, stft_data.shape[2] = 341
Vol 49: start_idx = 72000, end_idx = 92000, stft_data.shape[2] = 341
Vol 50: start_idx = 74000, end_idx = 94000, stft_data.shape[2] = 341
Vol 51: start_idx = 76000, end_idx = 96000, stft_data.shape[2] = 341
Vol 52: start_idx = 78000, end_idx = 98000, stft_data.shape[2] = 341
Vol 53: start_idx = 80000, end_idx = 100000, stft_data.shape[2] = 341
Vol 54: start_idx = 82000, end_idx = 102000, stft_data.shape[2] = 341
Vol 55: start_idx = 84000, end_idx = 104000, stft_data.shape[2] = 341
Vol 56: start_idx = 86000, end_idx = 106000, stft_data.shape[2] = 341
Vol 57: start_idx = 88000, end_idx = 108000, stft_data.shape[2] = 341
Vol 58: start_idx = 90000, end_idx = 110000, stft_data.shape[2] = 341
Vol 59: start_idx = 92000, end_idx = 112000, stft_data.shape[2] = 341
Vol 60: start_idx = 94000, end_idx = 114000, stft_data.shape[2] = 341
Vol 61: start_idx = 96000, end_idx = 116000, stft_data.shape[2] = 341
Vol 62: start_idx = 98000, end_idx = 118000, stft_data.shape[2] = 341
Vol 63: start_idx = 100000, end_idx = 120000, stft_data.shape[2] = 341
Vol 64: start_idx = 102000, end_idx = 122000, stft_data.shape[2] = 341
Vol 65: start_idx = 104000, end_idx = 124000, stft_data.shape[2] = 341
Vol 66: start_idx = 106000, end_idx = 126000, stft_data.shape[2] = 341
Vol 67: start_idx = 108000, end_idx = 128000, stft_data.shape[2] = 341
Vol 68: start_idx = 110000, end_idx = 130000, stft_data.shape[2] = 341
Vol 69: start_idx = 112000, end_idx = 132000, stft_data.shape[2] = 341
Vol 70: start_idx = 114000, end_idx = 134000, stft_data.shape[2] = 341
Vol 71: start_idx = 116000, end_idx = 136000, stft_data.shape[2] = 341
Vol 72: start_idx = 118000, end_idx = 138000, stft_data.shape[2] = 341
Vol 73: start_idx = 120000, end_idx = 140000, stft_data.shape[2] = 341
Vol 74: start_idx = 122000, end_idx = 142000, stft_data.shape[2] = 341
Vol 75: start_idx = 124000, end_idx = 144000, stft_data.shape[2] = 341
Vol 76: start_idx = 126000, end_idx = 146000, stft_data.shape[2] = 341
Vol 77: start_idx = 128000, end_idx = 148000, stft_data.shape[2] = 341
Vol 78: start_idx = 130000, end_idx = 150000, stft_data.shape[2] = 341
Vol 79: start_idx = 132000, end_idx = 152000, stft_data.shape[2] = 341
Vol 80: start_idx = 134000, end_idx = 154000, stft_data.shape[2] = 341
Vol 81: start_idx = 136000, end_idx = 156000, stft_data.shape[2] = 341
Vol 82: start_idx = 138000, end_idx = 158000, stft_data.shape[2] = 341
Vol 83: start_idx = 140000, end_idx = 160000, stft_data.shape[2] = 341
Vol 84: start_idx = 142000, end_idx = 162000, stft_data.shape[2] = 341
Vol 85: start_idx = 144000, end_idx = 164000, stft_data.shape[2] = 341
Vol 86: start_idx = 146000, end_idx = 166000, stft_data.shape[2] = 341
Vol 87: start_idx = 148000, end_idx = 168000, stft_data.shape[2] = 341
Vol 88: start_idx = 150000, end_idx = 170000, stft_data.shape[2] = 341
Vol 89: start_idx = 152000, end_idx = 172000, stft_data.shape[2] = 341
Vol 90: start_idx = 154000, end_idx = 174000, stft_data.shape[2] = 341
Vol 91: start_idx = 156000, end_idx = 176000, stft_data.shape[2] = 341
Vol 92: start_idx = 158000, end_idx = 178000, stft_data.shape[2] = 341
Vol 93: start_idx = 160000, end_idx = 180000, stft_data.shape[2] = 341
Vol 94: start_idx = 162000, end_idx = 182000, stft_data.shape[2] = 341
Vol 95: start_idx = 164000, end_idx = 184000, stft_data.shape[2] = 341
Vol 96: start_idx = 166000, end_idx = 186000, stft_data.shape[2] = 341
Vol 97: start_idx = 168000, end_idx = 188000, stft_data.shape[2] = 341
Vol 98: start_idx = 170000, end_idx = 190000, stft_data.shape[2] = 341
Vol 99: start_idx = 172000, end_idx = 192000, stft_data.shape[2] = 341
Vol 100: start_idx = 174000, end_idx = 194000, stft_data.shape[2] = 341
Vol 101: start_idx = 176000, end_idx = 196000, stft_data.shape[2] = 341
Vol 102: start_idx = 178000, end_idx = 198000, stft_data.shape[2] = 341
Vol 103: start_idx = 180000, end_idx = 200000, stft_data.shape[2] = 341
Vol 104: start_idx = 182000, end_idx = 202000, stft_data.shape[2] = 341
Vol 105: start_idx = 184000, end_idx = 204000, stft_data.shape[2] = 341
Vol 106: start_idx = 186000, end_idx = 206000, stft_data.shape[2] = 341
Vol 107: start_idx = 188000, end_idx = 208000, stft_data.shape[2] = 341
Vol 108: start_idx = 190000, end_idx = 210000, stft_data.shape[2] = 341
Vol 109: start_idx = 192000, end_idx = 212000, stft_data.shape[2] = 341
Vol 110: start_idx = 194000, end_idx = 214000, stft_data.shape[2] = 341
